lambda,transition
1.0528675593600334,2021–2022
1.0557369670120802,2021–2022
1.050806458609963,2021–2022
1.0463173139893889,2021–2022
1.051378509368744,2021–2022
1.0489622412564912,2021–2022
1.047971438823314,2021–2022
1.0438483313191105,2021–2022
1.0566642483847464,2021–2022
1.0516094090964003,2021–2022
1.0500450885761201,2021–2022
1.062013535670197,2021–2022
1.0525037246999087,2021–2022
1.0448510613566873,2021–2022
1.0549180817854973,2021–2022
1.0574431311242467,2021–2022
1.0566604661998067,2021–2022
1.056205418828646,2021–2022
1.05358867382947,2021–2022
1.051052278094926,2021–2022
1.0540785950493443,2021–2022
1.0585292560719162,2021–2022
1.0649985297145197,2021–2022
1.0471121964581038,2021–2022
1.0537945321627675,2021–2022
1.0543839406953253,2021–2022
1.057738173532199,2021–2022
1.054858062323595,2021–2022
1.0509552805128168,2021–2022
1.0531616909415866,2021–2022
1.0619806191440704,2021–2022
1.0488231104469772,2021–2022
1.0540859321525378,2021–2022
1.0545381065977024,2021–2022
1.049979321725174,2021–2022
1.0498832372279703,2021–2022
1.0535306322649818,2021–2022
1.0548592649620765,2021–2022
1.0575271659876777,2021–2022
1.059189541991987,2021–2022
1.0487786504252836,2021–2022
1.0490101968528014,2021–2022
1.0623225107675771,2021–2022
1.0579472270381747,2021–2022
1.05299337378761,2021–2022
1.0487959607053297,2021–2022
1.0532054220192146,2021–2022
1.0661445587268872,2021–2022
1.0513408306111096,2021–2022
1.0505217336707027,2021–2022
1.0574458698623885,2021–2022
1.0532602654484986,2021–2022
1.053092320843414,2021–2022
0.9900355788180605,2022–2023
0.9794437506536398,2022–2023
0.9848553287479238,2022–2023
0.9846801593262856,2022–2023
0.9850051052201149,2022–2023
0.9878209460863167,2022–2023
0.9835540236393325,2022–2023
0.9851610334765957,2022–2023
0.9863606271319963,2022–2023
0.985888998549425,2022–2023
0.9845939927162344,2022–2023
0.987089064778395,2022–2023
0.9823820637131818,2022–2023
0.9847189584563398,2022–2023
0.9841583990382109,2022–2023
0.9835740113639763,2022–2023
0.9868558236457244,2022–2023
0.9846223525418781,2022–2023
0.9801794309128466,2022–2023
0.9821622396353097,2022–2023
0.9854552701951044,2022–2023
0.9833617945091927,2022–2023
0.9820394892053873,2022–2023
0.9856164413493353,2022–2023
0.9857456808475811,2022–2023
0.9853582715858457,2022–2023
0.9852587488525728,2022–2023
0.9860170746870499,2022–2023
0.9856906021170888,2022–2023
0.9841731678018427,2022–2023
0.9831167811217989,2022–2023
0.9808735898978764,2022–2023
0.9821417095643357,2022–2023
0.982751915199802,2022–2023
0.9875695241324643,2022–2023
0.9864161059581638,2022–2023
0.9860450959622992,2022–2023
0.9857215732634745,2022–2023
0.9826000538836009,2022–2023
0.9805098114810258,2022–2023
0.9858243205478883,2022–2023
0.9808794283253867,2022–2023
0.9828613876357574,2022–2023
0.9819892502547439,2022–2023
0.9891335432638247,2022–2023
0.9863714564559104,2022–2023
0.9837574108970144,2022–2023
0.9805920242255595,2022–2023
0.9859557185123738,2022–2023
0.991296060239336,2022–2023
0.9850765404851528,2022–2023
0.9789895621117649,2022–2023
0.9804625123868326,2022–2023
0.9861823108869598,2022–2023
0.9834476239897323,2022–2023
0.9834898260578181,2022–2023
0.982787818803744,2022–2023
0.987600323610246,2022–2023
0.9844976764532958,2022–2023
0.9847408750122034,2022–2023
0.984083315197855,2022–2023
0.9859449001137993,2022–2023
0.9847935564512977,2022–2023
0.9804083356025507,2022–2023
0.985102127735885,2022–2023
0.9837703340708721,2022–2023
0.9835487295360367,2022–2023
0.9878505205923517,2022–2023
0.9867532552334791,2022–2023
0.98694962281985,2022–2023
0.9883759449914741,2022–2023
0.9832086060005711,2022–2023
0.9836277297366561,2022–2023
0.9846314908002896,2022–2023
0.9796809791831983,2022–2023
0.9801398952059776,2022–2023
0.9863741792292463,2022–2023
0.9810799266916073,2022–2023
0.9850698738820501,2022–2023
0.9864124764956678,2022–2023
0.9858935868704491,2022–2023
0.9863057393490458,2022–2023
0.9886548599604906,2022–2023
0.9793434278631536,2022–2023
0.979850413603024,2022–2023
0.9841419850449082,2022–2023
0.9878507106162158,2022–2023
0.9863935503628254,2022–2023
0.9888503153168742,2022–2023
0.984835602762902,2022–2023
0.9838749363106682,2022–2023
0.9879186573647456,2022–2023
0.9840556364643738,2022–2023
0.9880520834604929,2022–2023
0.979105339180752,2022–2023
0.9859992517467435,2022–2023
0.9867168214415557,2022–2023
0.9882911623562233,2022–2023
0.9801603031107432,2022–2023
0.9819498518958477,2022–2023
0.9865260946634725,2022–2023
0.9816319924886766,2022–2023
0.9829633360205441,2022–2023
0.9777648693040779,2022–2023
0.98924898280353,2022–2023
0.9779195937331199,2022–2023
0.9958128016493486,2022–2023
0.9897011681942967,2022–2023
0.9881430217240789,2022–2023
0.9831143717474644,2022–2023
0.9845380702827287,2022–2023
0.9802554230108212,2022–2023
0.9906620790471691,2022–2023
0.9830358908629162,2022–2023
0.9870365265366097,2022–2023
0.9833268680759136,2022–2023
0.981713094655824,2022–2023
0.982797606234788,2022–2023
0.9838525427487179,2022–2023
0.9806363585315263,2022–2023
0.9892235832087012,2022–2023
0.9893667909883197,2022–2023
0.9877319036396318,2022–2023
0.982111176738106,2022–2023
0.9823314941204333,2022–2023
0.9866472080978993,2022–2023
0.9833139308106927,2022–2023
0.9813597014029751,2022–2023
0.9887554306316955,2022–2023
0.9888297224975462,2022–2023
0.9800573944385824,2022–2023
0.9869471618075645,2022–2023
0.9830768746695921,2022–2023
0.9855090939645855,2022–2023
0.9896965225913599,2022–2023
0.9843653529497302,2022–2023
0.9829323505892342,2022–2023
0.9822568069639389,2022–2023
0.9862273738342016,2022–2023
0.982012939334513,2022–2023
0.9876080337724831,2022–2023
0.9852370641962769,2022–2023
0.982280897916966,2022–2023
0.9877945797699758,2022–2023
0.9892295784831456,2022–2023
0.9840358722841716,2022–2023
0.9870386180154053,2022–2023
0.986538528334947,2022–2023
0.9854805487855118,2022–2023
0.9824066247000841,2022–2023
0.9787616934079802,2022–2023
0.9798902206832163,2022–2023
0.9830704662586471,2022–2023
0.9812960177801593,2022–2023
0.9875448101943561,2022–2023
0.9830716114431748,2022–2023
0.9840038039357373,2022–2023
0.9776062308686252,2022–2023
0.9844149882138684,2022–2023
0.9845648061893506,2022–2023
0.9875687525221609,2022–2023
0.9788442965979699,2022–2023
0.9840980993544226,2022–2023
0.9899339112564609,2022–2023
0.9860950045715863,2022–2023
0.9803178446441498,2022–2023
0.9821586543146441,2022–2023
0.9834592385290368,2022–2023
0.9866445865020635,2022–2023
0.9829601712530434,2022–2023
0.9877239437298723,2022–2023
0.991427544219509,2022–2023
0.9892152417287677,2022–2023
0.9890217038407213,2022–2023
0.9846136608979864,2022–2023
0.9843682667410762,2022–2023
0.9868385882415972,2022–2023
0.9818791237316896,2022–2023
0.9870964319340367,2022–2023
0.9818673672764626,2022–2023
0.9843132927748214,2022–2023
0.988851451574349,2022–2023
0.9903914483959243,2022–2023
0.9907582496605426,2022–2023
0.9803564791878849,2022–2023
0.9845797780074055,2022–2023
0.9884843828350321,2022–2023
0.9831409683011646,2022–2023
0.9823551320736388,2022–2023
0.9852174563448853,2022–2023
0.9868865149900808,2022–2023
0.9839232380772951,2022–2023
0.988766655646394,2022–2023
0.9830982211664602,2022–2023
0.9802697039532762,2022–2023
0.9877663361590984,2022–2023
0.9862889648484165,2022–2023
0.9851239227188949,2022–2023
0.9881419190673764,2022–2023
0.9839950788396742,2022–2023
0.9854079672745133,2022–2023
0.9827998093585779,2022–2023
0.9924858083238801,2022–2023
0.9903783506598188,2022–2023
0.9839265320034468,2022–2023
0.9869301367695147,2022–2023
0.9877019731870295,2022–2023
0.9836877228600939,2022–2023
0.9829510415607375,2022–2023
0.9823013655892752,2022–2023
0.9877367751736941,2022–2023
0.9842999400024769,2022–2023
0.9882434984486603,2022–2023
0.9864244418274632,2022–2023
0.9865977764165819,2022–2023
0.9812231751340211,2022–2023
0.9814517795678607,2022–2023
0.9815771572524149,2022–2023
0.9802417539792322,2022–2023
0.9888904945182142,2022–2023
0.9876389619669791,2022–2023
0.9815172895047908,2022–2023
0.9889490401480158,2022–2023
0.9878137721143917,2022–2023
0.9917154303103463,2022–2023
0.9787388222375296,2022–2023
0.9791839176063443,2022–2023
0.9850410069721809,2022–2023
0.9863764252249347,2022–2023
0.992791007825828,2022–2023
0.9845297513735045,2022–2023
0.9871444420333267,2022–2023
0.9858683735318184,2022–2023
0.9813126135910392,2022–2023
0.9837455034993388,2022–2023
0.9851406378934413,2022–2023
0.9831840483465517,2022–2023
0.9853173119811208,2022–2023
0.9844758418263978,2022–2023
0.9827665252983024,2022–2023
0.9838428585527503,2022–2023
0.9869598032245638,2022–2023
0.9886461575907088,2022–2023
0.9833711228969975,2022–2023
0.9821644519656734,2022–2023
0.9793876821501493,2022–2023
0.9815057851288962,2022–2023
0.9841532297595474,2022–2023
0.9848727648926268,2022–2023
0.9889491821222801,2022–2023
0.9850175903813054,2022–2023
0.9834679944306275,2022–2023
0.9856960785193695,2022–2023
0.9807268623100946,2022–2023
0.9871473127229239,2022–2023
0.9885484702560773,2022–2023
0.9831560591136197,2022–2023
0.9827670244603544,2022–2023
0.9793681178493168,2022–2023
0.9833180779413361,2022–2023
0.9833757033223531,2022–2023
0.9835856325492519,2022–2023
0.9839553193052832,2022–2023
0.98581229200843,2022–2023
0.9861202426594247,2022–2023
0.9841269455170879,2022–2023
0.9855603540761055,2022–2023
0.9833273167273131,2022–2023
0.9814460821498335,2022–2023
0.9836414638544823,2022–2023
0.9853732855403268,2022–2023
0.9858598965244448,2022–2023
0.9805413161103697,2022–2023
0.9816388887758554,2022–2023
0.9824005969360838,2022–2023
0.9837984344576344,2022–2023
0.9852158904776924,2022–2023
0.9816337152294956,2022–2023
0.9785379010103447,2022–2023
0.9832007735728359,2022–2023
0.9873668750846846,2022–2023
0.9872734070050002,2022–2023
0.9825326947678562,2022–2023
0.9893062417146261,2022–2023
0.9845324540969012,2022–2023
0.988231650147942,2022–2023
0.9797258805715084,2022–2023
0.9857909296626617,2022–2023
0.9756634331170988,2022–2023
0.9845485414817602,2022–2023
0.9855727903862761,2022–2023
0.988515114698975,2022–2023
0.9844250766751986,2022–2023
0.9848239906284296,2022–2023
0.986399342652876,2022–2023
0.9811998343914025,2022–2023
0.985019534514545,2022–2023
0.9834213241619029,2022–2023
0.9873904691183126,2022–2023
0.9872750595496159,2022–2023
0.9847509604747827,2022–2023
0.9884528220323999,2022–2023
0.9836962539864782,2022–2023
0.9813315236588471,2022–2023
0.9858791322880621,2022–2023
0.9783785921905735,2022–2023
0.9874950319012827,2022–2023
0.9841431953360688,2022–2023
0.97717295733754,2022–2023
0.9822903969096258,2022–2023
0.9796450132858665,2022–2023
0.9868407684533663,2022–2023
0.9821472000456151,2022–2023
0.9803524715000533,2022–2023
0.9840032099417185,2022–2023
0.9841984282753615,2022–2023
0.991015799765268,2022–2023
0.9864326997693891,2022–2023
0.9867209897520751,2022–2023
0.98702043355088,2022–2023
0.9864533953149831,2022–2023
0.9822706978717077,2022–2023
0.9862170438527267,2022–2023
0.9797925382259786,2022–2023
0.9817525617704014,2022–2023
0.9845034691892232,2022–2023
0.986743699192496,2022–2023
0.9837817684281299,2022–2023
0.9839915072363942,2022–2023
0.9822723561421524,2022–2023
0.984385314893502,2022–2023
0.9847823809933061,2022–2023
0.9816341531143723,2022–2023
0.9826829592494403,2022–2023
0.9866607203334024,2022–2023
0.9876722863942743,2022–2023
0.9833035860697729,2022–2023
0.9884012970845573,2022–2023
0.9828667521389428,2022–2023
0.9875267756810958,2022–2023
0.9904796538479627,2022–2023
0.983493567539029,2022–2023
0.9837299996892599,2022–2023
0.9818430193578248,2022–2023
0.9902019086849768,2022–2023
0.9801136845719985,2022–2023
0.9818874241930844,2022–2023
0.9792919846316492,2022–2023
0.9846646177296391,2022–2023
0.9825523950079257,2022–2023
0.9838520562379789,2022–2023
0.9871161178405281,2022–2023
0.9838687539001765,2022–2023
0.9806851390859795,2022–2023
0.9822805414581822,2022–2023
0.9823922095052311,2022–2023
0.9878251253891414,2022–2023
0.9851332767111094,2022–2023
0.9853850894831909,2022–2023
0.9882411553510436,2022–2023
0.9863069452107983,2022–2023
0.9819747868794714,2022–2023
0.9859765211169612,2022–2023
0.9804908388373781,2022–2023
0.9849094967815815,2022–2023
0.984217491072581,2022–2023
0.9877485858111422,2022–2023
0.9829496573714903,2022–2023
0.9850487754892625,2022–2023
0.985869008454765,2022–2023
0.9828512624068889,2022–2023
0.9818751550043573,2022–2023
0.9858858831886059,2022–2023
0.9864578154763298,2022–2023
0.9865798603576243,2022–2023
0.98572289277436,2022–2023
0.9874851081792084,2022–2023
0.9837900344595504,2022–2023
0.9818467087719428,2022–2023
0.9797759556277321,2022–2023
0.9790667384901851,2022–2023
0.9816506232161206,2022–2023
0.9837453466948546,2022–2023
0.9812386591870823,2022–2023
0.9830330045586261,2022–2023
0.9818624941695082,2022–2023
0.9851550118578012,2022–2023
0.9794164340752389,2022–2023
0.9895089722957214,2022–2023
0.9896166853746178,2022–2023
0.986401062255659,2022–2023
0.9800830649891692,2022–2023
0.9833937688112226,2022–2023
0.9863273854954167,2022–2023
0.9843679496049045,2022–2023
0.9867434132152759,2022–2023
0.9854389245441094,2022–2023
0.9810267543186211,2022–2023
0.9861094281405748,2022–2023
0.980143972502298,2022–2023
0.9825201466785585,2022–2023
0.981239987065329,2022–2023
0.9844046249172693,2022–2023
0.9825278298026854,2022–2023
0.9838481310339687,2022–2023
0.9882781777111912,2022–2023
0.9876430505965188,2022–2023
0.9840254373401612,2022–2023
0.9786922754507262,2022–2023
0.9845261001099269,2022–2023
0.9816811636990447,2022–2023
0.9809474449029254,2022–2023
0.9881871255817339,2022–2023
0.9834726191800941,2022–2023
0.9844622150594414,2022–2023
0.9805560108854388,2022–2023
0.9824891217708098,2022–2023
0.9840688618580006,2022–2023
0.9831118150635052,2022–2023
0.9823268150109684,2022–2023
0.9841210965883052,2022–2023
0.9831045396217115,2022–2023
0.9788220097728341,2022–2023
0.9834928413180537,2022–2023
0.9847195476923764,2022–2023
0.9871791210962368,2022–2023
0.9829952027208386,2022–2023
0.9843954223086594,2022–2023
0.9882345231805495,2022–2023
0.9801218043604085,2022–2023
0.9872848048282608,2022–2023
0.9844126214119353,2022–2023
0.9871578171042382,2022–2023
0.9901427694506965,2022–2023
0.9869884108587187,2022–2023
0.9850286332638848,2022–2023
0.9830590221074992,2022–2023
0.9791653535423482,2022–2023
0.9880601402995045,2022–2023
0.9823396180179658,2022–2023
0.9881853963737807,2022–2023
0.9845918100687456,2022–2023
0.992108529618409,2022–2023
0.9846867559596495,2022–2023
0.9868498457946855,2022–2023
0.991339716221842,2022–2023
0.982982220695243,2022–2023
0.9875576866648699,2022–2023
0.9903494490395022,2022–2023
0.9890988480997428,2022–2023
0.9866156989675147,2022–2023
0.9876390342013402,2022–2023
0.9868542951238058,2022–2023
0.9797554181995123,2022–2023
0.9863903709307579,2022–2023
0.991877630045308,2022–2023
0.9863311217387244,2022–2023
0.9899207461296432,2022–2023
0.9810459529540323,2022–2023
0.9901891287093985,2022–2023
0.978338758052036,2022–2023
0.9837430240475123,2022–2023
0.9861010215807249,2022–2023
0.9866331391623634,2022–2023
0.982022368868613,2022–2023
0.9843823365183922,2022–2023
0.9895918385482732,2022–2023
0.979314483474511,2022–2023
0.9864740710720872,2022–2023
0.9878860580194336,2022–2023
0.9874486848440064,2022–2023
0.9860940171343542,2022–2023
0.9852241944898124,2022–2023
0.9802469320080819,2022–2023
0.9852590430249079,2022–2023
0.9852684856549689,2022–2023
0.9848202383025889,2022–2023
0.9870178745659854,2022–2023
0.9832459224181638,2022–2023
0.9883395482501037,2022–2023
0.9818793607608585,2022–2023
0.9879174798595846,2022–2023
0.9807402642859222,2022–2023
0.9844954750348816,2022–2023
0.9839414454234705,2022–2023
0.9860216005075957,2022–2023
0.9886381495330887,2022–2023
0.9802530955197567,2022–2023
0.9828424981909355,2022–2023
0.9873343814917607,2022–2023
0.980490105867378,2022–2023
0.9895023742719586,2022–2023
0.9882646729329255,2022–2023
0.9830192436393334,2022–2023
0.9837850888836063,2022–2023
0.9808464122541396,2022–2023
0.9849013142634607,2022–2023
0.9848140997381565,2022–2023
0.9882965114506498,2022–2023
0.9848637541111496,2022–2023
0.9864227684708264,2022–2023
0.9874738181019023,2022–2023
0.9882389188671592,2022–2023
0.9873038814269077,2022–2023
0.9811467190429158,2022–2023
0.9857304344024811,2022–2023
0.9849272059730981,2022–2023
0.984752330228887,2022–2023
0.984886341709381,2022–2023
0.9834821204768881,2022–2023
0.9894252535695521,2022–2023
0.9810033289788075,2022–2023
0.9826062632664729,2022–2023
0.9845488687455226,2022–2023
0.9812335208291861,2022–2023
0.9837344726853471,2022–2023
0.9877291001048375,2022–2023
0.9864888240090475,2022–2023
0.9847051681931146,2022–2023
0.9847228220135577,2022–2023
0.9849752420107615,2022–2023
0.983717425602375,2022–2023
0.983361901506175,2022–2023
0.9878829969208607,2022–2023
0.9833056457475202,2022–2023
0.9843946402541154,2022–2023
0.9836066976884507,2022–2023
0.9835248690337777,2022–2023
0.9806907645668127,2022–2023
0.9795243230401296,2022–2023
0.9854787856961617,2022–2023
0.9862341975181776,2022–2023
0.9861980079947986,2022–2023
0.9879359393394989,2022–2023
0.9857513339843207,2022–2023
0.9810012525049013,2022–2023
0.9799121231176542,2022–2023
0.9862355645476021,2022–2023
0.9769725302334659,2022–2023
0.9838480543711137,2022–2023
0.9837538819594456,2022–2023
0.9887497872181882,2022–2023
0.9895770242158717,2022–2023
0.9879952094944602,2022–2023
0.9827699871899812,2022–2023
0.9837619362994774,2022–2023
0.9873650978625247,2022–2023
0.9904498453478681,2022–2023
0.9843510598814607,2022–2023
0.9879568465099704,2022–2023
0.98738487742571,2022–2023
0.9872532382247776,2022–2023
0.9859246477488658,2022–2023
0.9764614735466919,2022–2023
0.9796497932491619,2022–2023
0.9821885686720819,2022–2023
0.9873646237860952,2022–2023
0.986453563940068,2022–2023
0.9852329131131351,2022–2023
0.9822716411826233,2022–2023
0.9860725796323312,2022–2023
0.9899382719370494,2022–2023
0.9856092138260465,2022–2023
0.9800677272411177,2022–2023
0.9827805047628752,2022–2023
0.9812037087565342,2022–2023
0.9822336730699484,2022–2023
0.9875681181625227,2022–2023
0.9821948824739736,2022–2023
0.9841625841924224,2022–2023
0.9810990960142604,2022–2023
0.9934944240942533,2022–2023
0.985397119098414,2022–2023
0.9821727841995922,2022–2023
0.9836361975377238,2022–2023
0.984144804096016,2022–2023
0.9822230477325367,2022–2023
0.9860116912984714,2022–2023
0.9902680649555422,2022–2023
0.9803360438947694,2022–2023
0.9795783815832244,2022–2023
0.9817620536983179,2022–2023
0.9854297248343198,2022–2023
0.9892295454646007,2022–2023
0.9895102642898811,2022–2023
0.9811577917841379,2022–2023
0.9829626219157347,2022–2023
0.9776462947763161,2022–2023
0.9876090270773644,2022–2023
0.9809629214494108,2022–2023
0.9796757976294522,2022–2023
0.9858719493269632,2022–2023
0.9879072289722122,2022–2023
0.9821919341028973,2022–2023
0.982230657194879,2022–2023
0.9787921132517564,2022–2023
0.9853062494772978,2022–2023
0.9874816257589684,2022–2023
0.9818077283767916,2022–2023
0.9867720507874198,2022–2023
0.9878181956683066,2022–2023
0.9831218324165368,2022–2023
0.9822235246026308,2022–2023
0.983944620540499,2022–2023
0.9894620920739646,2022–2023
0.9857111753619643,2022–2023
0.9883191613932817,2022–2023
0.9833141655711727,2022–2023
0.9890928955557344,2022–2023
0.9819659076134934,2022–2023
0.985239658057314,2022–2023
0.9841697566641788,2022–2023
0.9789511191665182,2022–2023
0.9847041877231828,2022–2023
0.9925171798421628,2022–2023
0.9809711404180538,2022–2023
0.9835846473320663,2022–2023
0.9822987888456294,2022–2023
0.9842607972998744,2022–2023
0.9879391418871886,2022–2023
0.9879828674088212,2022–2023
0.986572746487753,2022–2023
0.9831986826971804,2022–2023
0.9834196363692143,2022–2023
0.9781689321747663,2022–2023
0.9830895970401079,2022–2023
0.9903327279762733,2022–2023
0.9894970646403598,2022–2023
0.9873778648236761,2022–2023
0.988972152391086,2022–2023
0.9873793086038054,2022–2023
0.9866931753017776,2022–2023
0.9846386239219187,2022–2023
0.981779036417178,2022–2023
0.9833275391588592,2022–2023
0.9885539092756687,2022–2023
0.9841009626148206,2022–2023
0.9824164829895361,2022–2023
0.984389900312723,2022–2023
0.9828604703396606,2022–2023
0.9808388348244603,2022–2023
0.9788818624960877,2022–2023
0.9875664471486538,2022–2023
0.9892859682333708,2022–2023
0.9840801881689799,2022–2023
0.9837223798515625,2022–2023
0.9862728711476418,2022–2023
0.9882517781559453,2022–2023
0.9857846032403136,2022–2023
0.9854860678669888,2022–2023
0.9875365958605313,2022–2023
0.9832772161837133,2022–2023
0.9823375834141912,2022–2023
0.9803506699659427,2022–2023
0.9859736793855501,2022–2023
0.9877167018953051,2022–2023
0.9766154354294945,2022–2023
0.9865679516793068,2022–2023
0.9844687292456309,2022–2023
0.9877090292065583,2022–2023
0.9838926266943917,2022–2023
0.9822611007444628,2022–2023
0.9816689671524191,2022–2023
0.9865122668330549,2022–2023
0.9841580071175147,2022–2023
0.9861429504526603,2022–2023
0.9841790430590288,2022–2023
0.9803816077129653,2022–2023
0.9794301438144553,2022–2023
0.9812360327722532,2022–2023
0.9913556815516039,2022–2023
0.9826361449454141,2022–2023
0.9780525988742328,2022–2023
0.9808055961146979,2022–2023
0.986890268938476,2022–2023
0.9865069040864065,2022–2023
0.9866012604257319,2022–2023
0.979612802684693,2022–2023
0.98306604940419,2022–2023
0.9854077990130101,2022–2023
0.9841597949470214,2022–2023
0.9841517463287424,2022–2023
0.9879830740655887,2022–2023
0.9824663494391023,2022–2023
0.9786723309523049,2022–2023
0.98397847026324,2022–2023
0.9848863273248263,2022–2023
0.987438843723777,2022–2023
0.9858763478673418,2022–2023
0.9864621141163804,2022–2023
0.9798433721728186,2022–2023
0.9811041740849855,2022–2023
0.9866871763089209,2022–2023
0.9837604246876305,2022–2023
0.9873284902186277,2022–2023
0.9809777902140879,2022–2023
0.9853268766523691,2022–2023
0.9848934547415361,2022–2023
0.9848312116690764,2022–2023
0.9799652193718298,2022–2023
0.9890209012360769,2022–2023
0.9830093911790905,2022–2023
0.9776772891029754,2022–2023
0.9872768215703578,2022–2023
0.9875136898038848,2022–2023
0.9831149180627624,2022–2023
0.9882211336362884,2022–2023
0.9825200872080789,2022–2023
0.9834253618131321,2022–2023
0.9838125705151601,2022–2023
0.9869238525394173,2022–2023
0.9846751114742153,2022–2023
0.9868546257719496,2022–2023
0.9839658495794279,2022–2023
0.9889616246131925,2022–2023
0.9795708038283961,2022–2023
0.9847546177958774,2022–2023
0.9784462747539635,2022–2023
0.9839515535818449,2022–2023
0.9853069043158401,2022–2023
0.9874836482073948,2022–2023
0.9884550387369049,2022–2023
0.9866714870201522,2022–2023
0.9865646136814911,2022–2023
0.9882730294111105,2022–2023
0.9814849579215142,2022–2023
0.9843724239924984,2022–2023
0.9886874980368892,2022–2023
0.9852825007929644,2022–2023
0.9790404417178681,2022–2023
0.9864000098622842,2022–2023
0.9857660735237626,2022–2023
0.9846654262723552,2022–2023
0.9850970884910154,2022–2023
0.9859733163728533,2022–2023
0.9787855860318627,2022–2023
0.9834859877978874,2022–2023
0.9885868798688862,2022–2023
0.983251524835504,2022–2023
0.987513102084346,2022–2023
0.9865822383136089,2022–2023
0.9849384330579488,2022–2023
0.9797821938103622,2022–2023
0.9882229929027256,2022–2023
0.9867426724289123,2022–2023
0.9868908699272076,2022–2023
0.9847606388874696,2022–2023
0.9860059177294161,2022–2023
0.9838490062603467,2022–2023
0.9835129952165904,2022–2023
0.9799237991209644,2022–2023
0.9864296641177459,2022–2023
0.9821935421733948,2022–2023
0.9881642449425818,2022–2023
0.9856752869533695,2022–2023
0.9815621649431244,2022–2023
0.9823866829141735,2022–2023
0.9759974406597516,2022–2023
0.9848120569257734,2022–2023
0.9787869066348418,2022–2023
0.979345560105041,2022–2023
0.979955206006167,2022–2023
0.9868949743915184,2022–2023
0.9807406082562784,2022–2023
0.9870472866291481,2022–2023
0.9841064158078666,2022–2023
0.9876624936320895,2022–2023
0.9848711965016073,2022–2023
0.9828007942363239,2022–2023
0.980794545158265,2022–2023
0.9832270729822803,2022–2023
0.9894653064462345,2022–2023
0.9896379161102159,2022–2023
0.9845998337601213,2022–2023
0.9903367281024568,2022–2023
0.9865430108137142,2022–2023
0.983579243634846,2022–2023
0.9860338342605236,2022–2023
0.9855320795023186,2022–2023
0.980472865957616,2022–2023
0.9865535650138915,2022–2023
0.9837787087241684,2022–2023
0.9887270048972965,2022–2023
0.985984197256107,2022–2023
0.9875233470600545,2022–2023
0.9812427448115344,2022–2023
0.9807857841877599,2022–2023
0.9872547674318373,2022–2023
0.9826152918991159,2022–2023
0.988684086221441,2022–2023
0.9799225965166408,2022–2023
0.984729472061884,2022–2023
0.9908275813310604,2022–2023
0.9839788437156889,2022–2023
0.982137029049352,2022–2023
0.9812336384803646,2022–2023
0.9860815826294087,2022–2023
0.9818685363456648,2022–2023
0.9835707615507111,2022–2023
0.9846645507572361,2022–2023
0.9824973011168391,2022–2023
0.9853559387717702,2022–2023
0.9856043522677703,2022–2023
0.9791318430976609,2022–2023
0.989350128799344,2022–2023
0.9847651060906862,2022–2023
0.9910089926343212,2022–2023
0.9904149976818891,2022–2023
0.9853685392465026,2022–2023
0.9793771514422075,2022–2023
0.9893518666856562,2022–2023
0.9847458357695609,2022–2023
0.9854511180350657,2022–2023
0.9883239205196189,2022–2023
0.9878909036479295,2022–2023
0.9895565745062034,2022–2023
0.982562318650946,2022–2023
0.9853068317527826,2022–2023
0.9836111716451993,2022–2023
0.9857583999322759,2022–2023
0.985324686737933,2022–2023
0.9791681000178459,2022–2023
0.9799847090482132,2022–2023
0.9845841578484081,2022–2023
0.979941081396492,2022–2023
0.9841903648842593,2022–2023
0.9820681043406044,2022–2023
0.9893147823434603,2022–2023
0.9916309715528403,2022–2023
0.9885854862884071,2022–2023
0.9836280931568511,2022–2023
0.9836045013674692,2022–2023
0.9883666306851167,2022–2023
0.9879688914541238,2022–2023
0.9871415722553271,2022–2023
0.98254809631424,2022–2023
0.9891227660654035,2022–2023
0.9817980563618661,2022–2023
0.9857542297517333,2022–2023
0.9847386454071664,2022–2023
0.9842373356980065,2022–2023
0.9890546219612931,2022–2023
0.9841350480722931,2022–2023
0.9805783291983332,2022–2023
0.9817665871708614,2022–2023
0.981798922113444,2022–2023
0.985913509381617,2022–2023
0.9834559487368377,2022–2023
0.9885683375457361,2022–2023
0.9873973549411543,2022–2023
0.9843883448758719,2022–2023
0.9834791423358492,2022–2023
0.982525533331852,2022–2023
0.9819968164493651,2022–2023
0.9827037344493815,2022–2023
0.9811028476333143,2022–2023
0.9834673439222996,2022–2023
0.9916778943736784,2022–2023
0.9822204585152019,2022–2023
0.9817277844805562,2022–2023
0.9861878735987019,2022–2023
0.9818128850527152,2022–2023
0.9839759129304593,2022–2023
0.9883205417852292,2022–2023
0.9795271713421021,2022–2023
0.9866322067566885,2022–2023
0.9842195625561159,2022–2023
0.9854675240554259,2022–2023
0.9830115790617378,2022–2023
0.9852557681371615,2022–2023
0.9844850965632173,2022–2023
0.9822375759201836,2022–2023
0.9820667217525818,2022–2023
0.9858743546619498,2022–2023
0.9823353103261931,2022–2023
0.987384242419039,2022–2023
0.9866606087545674,2022–2023
0.9921367628556658,2022–2023
0.986248123559861,2022–2023
0.9778846920640253,2022–2023
0.9888446934529806,2022–2023
0.9837603978708703,2022–2023
0.9878590811070189,2022–2023
0.9876820696128564,2022–2023
0.9840001153525879,2022–2023
0.987477820269881,2022–2023
