source_id,area1,action,location,site,plot,area2,transition,survival,log_size,log_size_next,id,period
T01_15_2021,318.33,same,Tampico,1,15,313.3348122065728,t1,1,5.7630885805536085,5.747272306393013,73,2021
T01_15_2021,158.72,shrink,Tampico,1,15,135.29488262910797,t1,1,5.067141643536563,4.907456712060186,74,2021
T04_05_2021,66.34,shrink,Tampico,4,5,16.02826291079812,t1,1,4.1947930335189065,2.7743535958586154,75,2021
T04_05_2021,119.99,shrink,Tampico,4,5,97.6787323943662,t1,1,4.787408405976297,4.581683852592592,76,2021
T04_05_2021,266.03,shrink,Tampico,4,5,232.2118075117371,t1,1,5.58360908437718,5.4476499185813525,77,2021
T04_06_2021,134.18,grow,Tampico,4,6,147.7775352112676,t1,1,4.899182182134742,4.99570800245072,78,2021
T04_06_2021,55.53,grow,Tampico,4,6,62.80429577464788,t1,1,4.016923415253516,4.140023475189605,79,2021
T04_06_2021,235.67,same,Tampico,4,6,237.87199530516432,t1,1,5.462432521400004,5.47173269413418,80,2021
T04_06_2021,267.63,same,Tampico,4,6,266.55899061032864,t1,1,5.589605429593802,5.58559557224535,81,2021
T04_06_2021,123.95,shrink,Tampico,4,6,112.41737089201878,t1,1,4.819878258481199,4.722218470821354,82,2021
T04_08_2021,107.51,shrink,Tampico,4,8,89.33711267605634,t1,1,4.6775838664971365,4.492416997023128,83,2021
T20_11_2021,93.1,same,Tampico,20,11,89.70704225352112,t1,1,4.533674184283021,4.496549274940955,84,2021
T22_33_2021,40.96,same,Tampico,22,33,39.28922535211267,t1,1,3.7125959807312525,3.670950317216997,85,2021
T22_34_2021,19.74,dead,Tampico,22,34,0,t1,0,2.9826470340053355,NA,86,2021
T22_34_2021,49.28,dead,Tampico,22,34,0,t1,0,3.8975183192252643,NA,87,2021
T22_35_2021,188.15,grow,Tampico,22,35,197.8958762886598,t1,1,5.237239517039447,5.287741015042555,88,2021
T22_35_2021,24.25,shrink,Tampico,22,35,22.16536082474227,t1,1,3.188416617383492,3.098530747096424,89,2021
T22_36_2021,43.56,grow,Tampico,22,36,52.47079812206573,t1,1,3.77413929806476,3.9602567886000055,90,2021
T22_36_2021,361.9,same,Tampico,22,36,376.2343896713615,t1,1,5.891367930569697,5.930212325956832,91,2021
T22_36_2021,139.34,shrink,Tampico,22,36,86.3293192488263,t1,1,4.936916989601973,4.4581692767631536,92,2021
T23_46_2021,218.18,grow,Tampico,23,46,227.66247422680414,t1,1,5.38532041016961,5.427864155916746,93,2021
T23_48_2021,45.81,shrink,Tampico,23,48,43.371649484536086,t1,1,3.8245024078986507,3.7698059899701613,94,2021
T24_31_2021,29.91,dead,Tampico,24,31,0,t1,0,3.398192872641857,NA,95,2021
T24_31_2021,220.87,grow,Tampico,24,31,237.26865979381444,t1,1,5.397574293145378,5.469193084739999,96,2021
T24_31_2021,497,grow,Tampico,24,31,525.289381443299,t1,1,6.208590026096629,6.263949313484329,97,2021
T24_32_2021,103.64,grow,Tampico,24,32,115.66618556701032,t1,1,4.640923355693909,4.750708331907076,98,2021
T37_17_2021,56.4,grow,Tampico,37,17,59.44,t1,1,4.032469158504013,4.084967400409504,99,2021
T37_17_2021,139.76,same,Tampico,37,17,144.59,t1,1,4.939926665825801,4.9739021510400345,100,2021
T37_17_2021,191.83,shrink,Tampico,37,17,174.54,t1,1,5.256609563148246,5.162153941735165,101,2021
T37_18_2021,512.55,grow,Tampico,37,18,555.25,t1,1,6.239398267229411,6.319418462774537,102,2021
T37_18_2021,81.62,shrink,Tampico,37,18,69.56,t1,1,4.402074329977659,4.242189689486082,103,2021
T37_19_2021,275.28,grow,Tampico,37,19,291.57,t1,1,5.617788761489225,5.675280114183489,104,2021
T37_19_2021,61.25,shrink,Tampico,37,19,47.06,t1,1,4.114963849424837,3.8514233832992164,105,2021
T37_19_2021,45.32,shrink,Tampico,37,19,33.47,t1,1,3.8137484361598055,3.510649515223235,106,2021
T37_20_2021,231.45,grow,Tampico,37,20,254.2,t1,1,5.444363867477279,5.538121358755354,107,2021
T39_37_2021,320.58,grow,Tampico,39,37,371.2687323943662,t1,1,5.770131855197735,5.916926146471889,108,2021
T39_37_2021,91.93,shrink,Tampico,39,37,85.52107981220658,t1,1,4.521027417875663,4.44876289306606,109,2021
T39_37_2021,43.1,shrink,Tampico,39,37,34.471948356807516,t1,1,3.763522997109702,3.5401459021924193,110,2021
T39_38_2021,232.95,dead,Tampico,39,38,0,t1,0,5.450823838262806,NA,111,2021
T39_38_2021,107.51,grow,Tampico,39,38,133.60835680751174,t1,1,4.6775838664971365,4.894912810100745,112,2021
T39_38_2021,176.89,same,Tampico,39,38,177.3012676056338,t1,1,5.1755280704554165,5.177850362550565,113,2021
T39_38_2021,35.41,shrink,Tampico,39,38,32.2312441314554,t1,1,3.566994266123812,3.472936296740882,114,2021
T39_38_2021,109.11,shrink,Tampico,39,38,73.71528169014084,t1,1,4.692356547667007,4.300210127635333,115,2021
T39_39_2021,170.76,grow,Tampico,39,39,183.34650234741784,t1,1,5.140259061889761,5.211377817964601,116,2021
T43_21_2021,84.1,grow,Tampico,43,21,143.59876288659794,t1,1,4.432006566978902,4.967023041581179,117,2021
T43_21_2021,276.55,grow,Tampico,43,21,303.25144329896904,t1,1,5.622391636440687,5.7145623072488405,118,2021
T43_22_2021,151.38,same,Tampico,43,22,147.4440206185567,t1,1,5.019793231881021,4.9934485825133414,119,2021
T43_23_2021,103.08,shrink,Tampico,43,23,85.67823943661972,t1,1,4.635505385784164,4.450598877803024,120,2021
T45_25_2021,172.33,grow,Tampico,45,25,186.72680412371136,t1,1,5.1494112432934855,5.229646608125555,121,2021
T45_25_2021,102.59,same,Tampico,45,25,100.47525773195876,t1,1,4.630740462099621,4.609911505467171,122,2021
T45_25_2021,278.88,same,Tampico,45,25,287.9861855670103,t1,1,5.630781581771711,5.662912512204289,123,2021
T45_27_2021,54.95,grow,Tampico,45,27,69.21886597938143,t1,1,4.006423680849631,4.237273455226731,124,2021
T45_27_2021,115.05,same,Tampico,45,27,112.03969072164948,t1,1,4.745366816481375,4.718853189960121,125,2021
T45_27_2021,116.74,shrink,Tampico,45,27,33.16628865979382,t1,1,4.759949239775645,3.5015339582393428,126,2021
T45_28_2021,183.49,dead,Tampico,45,28,0,t1,0,5.212160170096862,NA,127,2021
M08_69_2022,180.19,same,Maguey,8,69,175.58,t2,1,5.194011849738723,5.1680947794980625,1,2023
